eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,year
197001050001,1970.0,1.0,1.0,,0.0,,217.0,United States,1.0,North America,Wisconsin,Baraboo,43.4685,-89.744299,1.0,0.0,,,1.0,1.0,0.0,1.0,1.0,Insurgency/Guerilla Action,0.0,0.0,0.0,3.0,Bombing/Explosion,,,,,4.0,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,,Badger Army ammo depot.,217.0,United States,,,,,,,,,,,,,,,,,"Weather Underground, Weathermen",,,,,,,0.0,,,0.0,,,,,,,,,,,,,6.0,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,0.0,3.0,Minor (likely < $1 million),0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0.0,0.0,0.0,0.0,,
197001060001,1970.0,1.0,6.0,,0.0,,217.0,United States,1.0,North America,Colorado,Denver,39.758968,-104.876305,1.0,0.0,,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",1.0,1.0,1.0,1.0,2.0,Other Crime Type,0.0,1.0,0.0,7.0,Facility/Infrastructure Attack,,,,,4.0,Military,28.0,Military Recruiting Station/Academy,Army Recruiting Station,"Army Recruiting Station, Denver Colorado",217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Protest the draft and Vietnam War,0.0,,,0.0,-99.0,-99.0,0.0,,,,,,,,,,8.0,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),305.0,,0.0,,,,,,,0.0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,Hewitt Project,-9.0,-9.0,0.0,-9.0,,
197001080001,1970.0,1.0,8.0,,0.0,,98.0,Italy,8.0,Western Europe,Lazio,Rome,41.890961,12.490069,1.0,0.0,,,1.0,1.0,1.0,-9.0,,,0.0,1.0,0.0,4.0,Hijacking,,,,,6.0,Airports & Aircraft,42.0,Aircraft (not at an airport),Trans World Airline,Flight 802 Boeing 707,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0.0,1.0,,,,,,,,,,,,5.0,Firearms,4.0,Rifle/Shotgun (non-automatic),5.0,Firearms,3.0,Handgun,,,,,,,,,Rifle - carbine; Pistols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,Beirut,Beirut,0.0,,,,,,2.0,Hostage(s) released by perpetrators,,,,,,Hijacking DB,-9.0,-9.0,1.0,1.0,,
197001090001,1970.0,1.0,9.0,,0.0,,217.0,United States,1.0,North America,Michigan,Detroit,42.331685,-83.047924,1.0,0.0,,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,7.0,Facility/Infrastructure Attack,,,,,2.0,Government (General),21.0,Government Building/Facility/Office,U.S. Government housing,Packard Properties building of Detroit Michigan,217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0.0,,,0.0,-99.0,-99.0,0.0,,,,,,,,,,8.0,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,Building was damaged,0.0,,,,,,,0.0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,Hewitt Project,-9.0,-9.0,0.0,-9.0,,
197001090002,1970.0,1.0,9.0,,0.0,,217.0,United States,1.0,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,1.0,0.0,Caparra Shopping Center,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",1.0,1.0,1.0,1.0,2.0,Other Crime Type,0.0,1.0,0.0,7.0,Facility/Infrastructure Attack,,,,,1.0,Business,7.0,Retail/Grocery/Bakery,American owned business in Puerto Rico,Baker's Store,217.0,United States,,,,,,,,,,,,,,,,,Armed Commandos of Liberation,,,,,,To protest United States owned businesses in Puerto Rico,1.0,,,0.0,-99.0,-99.0,1.0,10.0,Unknown,,,,,,,,8.0,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,Fire set in back of store,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Major (likely >= $1 million but < $1 billion),2000000.0,Store destroyed,0.0,,,,,,,0.0,,,,,,,,,The fire began at 8:30 PM. The Armed Commandos of Liberation claimed the incident but authorities did not discover any evidence proving that the fire was set intentionally.,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","""No Evidence Of Arson Found In Barkers Fire,"" The Virgin Islands Daily News, January 13, 1970.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and Communiqu�s from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.",Hewitt Project,0.0,0.0,0.0,0.0,,
197001100001,1970.0,1.0,10.0,,0.0,,499.0,East Germany (GDR),9.0,Eastern Europe,Berlin,Berlin,52.50153,13.401851,1.0,0.0,,,1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,3.0,Bombing/Explosion,,,,,2.0,Government (General),,,,Jurists Ball (Palais au Frankturm),75.0,Germany,,,,,,,,,,,,,,,,,Commune 1,,,,,,,0.0,,,0.0,,,,,,,,,,,,,6.0,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,0.0,,,,"Damages: none, attempted to detonate device and were unsuccessful (Jurists Ball)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0.0,1.0,1.0,1.0,,
197001110001,1970.0,1.0,11.0,,0.0,,65.0,Ethiopia,11.0,Sub-Saharan Africa,Unknown,Unknown,,,5.0,0.0,,,1.0,1.0,0.0,1.0,1.0,Insurgency/Guerilla Action,0.0,1.0,0.0,9.0,Unknown,,,,,4.0,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",U.S. Army,Soldier,217.0,United States,,,,,,,,,,,,,,,,,Eritrean Liberation Front,,,,,,,0.0,,,0.0,1.0,,,,,,,,,,,,13.0,Unknown,,,,,,,,,,,,,,,,1.0,,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0.0,1.0,1.0,1.0,,
197001120001,1970.0,1.0,12.0,,0.0,,217.0,United States,1.0,North America,New York,New York City,40.697132,-73.931351,1.0,0.0,Brooklyn,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,3.0,Bombing/Explosion,,,,,8.0,Educational Institution,49.0,School/University/Educational Building,High School,James Madison High School,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,0.0,,,0.0,-99.0,-99.0,0.0,,,,,,,,,,6.0,Explosives,31.0,Pipe Bomb,,,,,,,,,,,,,Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,Damaged a blackboard and shattered a pane of glass.,0.0,,,,,,,0.0,,,,,,,,,"One half hour after the bomb explosion, an anonymous caller warned of a bomb that was going to detonated in the locker room, however this device was never found.  The inscriptions on the wall of the building were ""Panthers 21,"" ""Support Young Lords,"" and ""Americong.""  There was no history of racial violence at James Madison High School.","""Blast Damages Flatbush School,"" New York Times, January 13, 1970.","Linda Greenhouse, ""Madison School Puzzled By Bomb,"" New York Times, January 18, 1970.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9.0,-9.0,0.0,-9.0,,
197001120002,1970.0,1.0,12.0,,0.0,,217.0,United States,1.0,North America,Puerto Rico,Rio Grande,18.379998,-65.830948,1.0,0.0,,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,3.0,Bombing/Explosion,,,,,1.0,Business,4.0,Multinational Corporation,General Electric,General Electric factory in Rio Grande Puerto Rico,217.0,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,,0.0,,,0.0,-99.0,-99.0,0.0,,,,,,,,,,6.0,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Bomb,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and Communiqu�s from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.",,Hewitt Project,-9.0,-9.0,0.0,-9.0,,
197001130001,1970.0,1.0,13.0,,0.0,,217.0,United States,1.0,North America,Washington,Seattle,47.610786,-122.331306,1.0,0.0,,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,7.0,Facility/Infrastructure Attack,,,,,1.0,Business,7.0,Retail/Grocery/Bakery,Fuson's Department Store,"Fuson's Department Store, Seattle Washington",217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,0.0,,,0.0,-99.0,-99.0,0.0,,,,,,,,,,8.0,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),17000.0,,0.0,,,,,,,0.0,,,,,,,,,"The store was a White owned business operating in a predominantly African American neighborhood.  Before the firebombing, the Fuson's received many threats against their store.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",,,Hewitt Project,-9.0,-9.0,0.0,-9.0,,
197001140001,1970.0,1.0,14.0,,0.0,,217.0,United States,1.0,North America,Illinois,Champaign,40.116748,-88.23927,1.0,0.0,Champaign Police Department,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,7.0,Facility/Infrastructure Attack,,,,,3.0,Police,22.0,"Police Building (headquarters, station, school)",Police Department,Champaign Police Department,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,,0.0,,,0.0,-99.0,-99.0,0.0,,,,,,,,,,8.0,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb thrown through window,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,Minor (likely < $1 million),,,0.0,,,,,,,0.0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Peter F. Nardulli and Jeffrey M. Stonecash, ""Politics, Professionalism, and Urban Services,"" Oelgeschlager, Gunn & Hain, Publishers, Inc. 1981.",Hewitt Project,-9.0,-9.0,0.0,-9.0,,
197001150001,1970.0,1.0,15.0,,0.0,,218.0,Uruguay,3.0,South America,Montevideo,Montevideo,-34.891151,-56.187214,1.0,0.0,,,1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,2.0,Armed Assault,,,,,8.0,Educational Institution,49.0,School/University/Educational Building,,"Secondary School, Chemistry Lab",218.0,Uruguay,,,,,,,,,,,,,,,,,Tupamaros (Uruguay),,,,,,,0.0,,,0.0,5.0,,,,,,,,,,,,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearms,0.0,,,0.0,,,1.0,3.0,Minor (likely < $1 million),2500.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0.0,0.0,0.0,0.0,,
197001190002,1970.0,1.0,19.0,,0.0,,217.0,United States,1.0,North America,Washington,Seattle,47.610786,-122.331306,1.0,0.0,Seattle University,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,3.0,Bombing/Explosion,,,,,8.0,Educational Institution,49.0,School/University/Educational Building,Seattle University,"Liberal Arts and Garrand buildings, Seattle University",217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,The incident took place during disturbances between the Black Student Union and the university.,1.0,,,0.0,3.0,-99.0,0.0,,,,,,,,,,6.0,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),2200.0,Windows were shattered at the Liberal Arts and Garrand Buildings.,0.0,,,,,,,0.0,,,,,,,,,Witnesses observed three African American males running from the scene.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Seattle University, ""1965-1975: Troubled Times,"" <www.seattleu.eduhistorysection6.html>",Hewitt Project,-9.0,-9.0,0.0,-9.0,,
